title,company,location,salary,summary,posted,url,source,search_term,scraped_at,job_type,seniority,skills_mentioned,salary_clean
Data Analyst,Ninedots.Io,"Dublin, County Dublin, Ireland",Not specified,,2026-02-26,https://ie.linkedin.com/jobs/view/data-analyst-at-ninedots-io-4375538344?position=1&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=ngyng%2FYv24w1FQXBbhmt8A%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Data Analyst,Ucc Academy,Cork Metropolitan Area,Not specified,,2026-03-10,https://ie.linkedin.com/jobs/view/data-analyst-at-ucc-academy-4383701980?position=2&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=dO%2BWc%2BG0a72Uu4QMbssTMA%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Data Analyst,Stripe,"Dublin, County Dublin, Ireland",Not specified,,2026-03-06,https://ie.linkedin.com/jobs/view/data-analyst-at-stripe-4372731111?position=3&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=tyOl8yLrwWWsKefJ2PL6ag%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Senior Data Analyst,Docusign,"Dublin, County Dublin, Ireland",Not specified,,2026-02-23,https://ie.linkedin.com/jobs/view/senior-data-analyst-at-docusign-4305755206?position=4&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=VNI47JxuWy61xYmoXdoWWQ%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Senior,,Not specified
Data Analyst,Ezo Ev Charging,"Maynooth, County Kildare, Ireland",Not specified,,2026-03-03,https://ie.linkedin.com/jobs/view/data-analyst-at-ezo-ev-charging-4379407493?position=5&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=h7%2B35ZMMS7EEuF5GO53HgQ%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Data Analyst,Mcs Group | Your Specialist Recruitment Consultancy,"Dublin, County Dublin, Ireland",Not specified,,2026-03-09,https://ie.linkedin.com/jobs/view/data-analyst-at-mcs-group-your-specialist-recruitment-consultancy-4383309934?position=6&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=7etkgxTK7PYUINEPItM5PQ%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Data Analyst,Talentspot Recruitment,"Dublin, County Dublin, Ireland",Not specified,,2026-03-10,https://ie.linkedin.com/jobs/view/data-analyst-at-talentspot-recruitment-4381601178?position=7&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=Wl9p67wZywLH5GRBQwJe2A%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Senior Data Analyst,Fruition Group Ireland,"Dublin, County Dublin, Ireland",Not specified,,2026-03-09,https://ie.linkedin.com/jobs/view/senior-data-analyst-at-fruition-group-ireland-4381590044?position=8&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=Qd42zSE91sg%2B91g4P0l9Vw%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Senior,,Not specified
Data Analyst,Icims,"Dublin 2, County Dublin, Ireland",Not specified,,2026-02-24,https://ie.linkedin.com/jobs/view/data-analyst-at-icims-4368203035?position=9&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=oDVG22HfyvksPDU5YzaTxQ%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
Reporting Analyst,Strive Search,Galway Metropolitan Area,Not specified,,2026-03-02,https://ie.linkedin.com/jobs/view/reporting-analyst-at-strive-search-4378823772?position=10&pageNum=0&refId=ep4KBF4WfS%2FpFGT9ldjd7A%3D%3D&trackingId=1zEjcpuCifht7bRaEBJwCg%3D%3D,LinkedIn,data analyst,2026-03-11 23:58:54,Data Analyst,Mid-Level,,Not specified
